listing_id,artist,title,label,catno,format,release_id,status,price,listed,comments,media_condition,sleeve_condition,accept_offer,external_id,weight,format_quantity,location
1845075694,Prince,Prince,Warner Bros. Records,BSK 3366,"LP, Album, Win",6011772,Sold,25.0,2022-02-09 07:33:20,"Wax in very good shape, has surface noise but plays through, doesn't overpower. Listen to our audio sample to hear for yourself. Jacket has considerable crate wear, edge+corners+ring. No seem splits. We keep all our vinyl inside 3mm poly outer, wax kept inside archival quality rice-paper inner sleeve.",Very Good (VG),Good (G),N,,230,1,
1845791758,Kid Creole And The Coconuts,I'm A Wonderful Thing,Ze Records,12WIP 6756,"12"", Single",67999,Sold,10.0,2022-02-09 13:36:33,"Wax looks never played, full of luster.  Jacket is in excellent condition. We keep all our vinyl inside 3mm poly outer, wax kept inside archival quality rice-paper inner sleeve.",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,
1845792916,Giorgio Moroder,E=MC²,Casablanca,NBLP 7169,"LP, Album, 53 ",3181792,Sold,15.0,2022-02-09 13:40:41,"Wax in excellent shape, listen to our audio sample to hear for yourself. Jacket has very minor corner bumps, could also be a NM. Includes original picture inner lyrics sleeve. We keep all our vinyl inside 3mm poly outer, wax kept inside archival quality rice-paper inner sleeve.",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,
1845797734,War,Why Can't We Be Friends?,United Artists Records,UA-LA441-G,"LP, Album",707741,Sold,25.0,2022-02-09 13:56:06,"Wax in vg+ shape, listen to our audio sample to hear for yourself. Jacket is pretty good shape with only light corner bumps and shelf wear. We keep all our vinyl inside 3mm poly outer, wax kept inside archival quality rice-paper inner sleeve.",Very Good Plus (VG+),Very Good (VG),N,,230,1,
1900452092,Kleeer,Intimate Connection,"Real Gone Music, Atlantic",RGM-1041,"LP, Album, Ltd, RE, Red",15542442,Draft,37.0,2022-03-19 11:07:17,"Sealed in shrink, wax assumed to be M. Jacket in perfect condtion, shrink is complete, hype sticker attached. Everything kept in protective poly sleeve.",Mint (M),Near Mint (NM or M-),Y,,230,1,
1904709080,توت أرض = توت أرض,Migrant Birds,Glitterbeat,GBLP 095,"LP, Album",15339165,Sold,30.0,2022-03-23 14:07:47,"Vinyl in near perfect shape, full of gloss and immaculate grooves. Jacket looks fabulous with the most miniscule of corner bumps. Jacket, and vinyl have been kept in protective poly outer and inner sleeves. ",Near Mint (NM or M-),Near Mint (NM or M-),N,,230,1,
1905416714,The Whispers,In The Raw,Solar,AS-11543,"12"", Promo",507294,Draft,17.0,2022-03-24 07:51:15,"Vinyl is very good shape, full of beautiful gloss. Generic Elektra picture jacket. Everything kept in protective sleeves.",Very Good Plus (VG+),Generic,Y,,230,1,
1905482108,Roy Ayers Ubiquity,Vibrations,"Polydor, Polydor","PD-1-6091, 2391 256","LP, Album, All",985353,Sold,20.0,2022-03-24 08:17:47,"Wax has some lights scuff marks, played through on test play. Little to no surface noise, clean otherwise. Jacket has crate wear on front and back. Edge wear and corner bumps. Everything kept inside protective sleeves.",Very Good (VG),Very Good (VG),N,,230,1,
1915169420,DeBarge,All This Love,Gordy,6012GL,"LP, Album, RP, RE-",932782,Sold,35.0,2022-03-31 11:38:20,"Wax in excellent shape, full of gloss, not even the faintest hairline. Cover in very good condition with only light crate edge and corner wear. Everything now kept inside protective poly sleeves.",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,
1916682503,Switch (6),Switch,Gordy,G7-980R1,"LP, Album",3095110,Sold,15.0,2022-04-01 14:01:11,"wax in great shape, lots of gloss. Cover looks pretty damn good too. Everything kept in protective sleeves.",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,
2936951449,Tomorrow's People,Open Soul,"P-Vine Records, Stage Productions",PLP-7141,"LP, Album, RE",19631422,Sold,50.0,2024-02-20 20:23:35,,Near Mint (NM or M-),Near Mint (NM or M-),N,,230,1,
2937692272,Juno D'Lord,Music Sweet / Hotter & Hotter,Wrecker Records,WR 1559,"12""",10461683,Sold,100.0,2024-02-21 09:38:11,"Great shape, not a speck, bought it sealed but I wanted to listen. Generic sleeve, have kept it in a poly sleeve too.",Near Mint (NM or M-),Generic,N,,230,1,
2941077751,Cerrone,Cerrone's Paradise,Malligator,773 802,"LP, Album",66994,Sold,25.0,2024-02-23 11:41:54,"Great shape, everything kept in protective sleeves",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,
2941355824,Isaac Hayes,Hot Buttered Soul,Enterprise,ENS 1001,"LP, Album",10435901,Sold,20.0,2024-02-23 13:10:11,"Great shape, everything kept in protective sleeves. Gold Record Award promo sticker. Hayes best album?",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,
2941368838,Phyllis Hyman,You Know How To Love Me,Arista,AL 9509,"LP, Album, San",738161,Sold,20.0,2024-02-23 13:14:38,"Great shape, everything kept in protective sleeves. Mega disco heater",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,
2941402876,Maze Featuring Frankie Beverly,Maze Featuring Frankie Beverly,Capitol Records,ST-11607,"LP, Album, Win",1350066,Sold,35.0,2024-02-23 13:50:42,"Great shape, everything kept in protective sleeves. Nice gloss, light hairlines, some of original shrink still on outer sleeve",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,
2941429915,Steve Monite / Tabu Ley Rochereau,Only You / Hafi Deo,Soundway,SNDW12025,"12""",10710133,Sold,30.0,2024-02-23 14:09:16,"MINT, original shrink, fantastic shape, everything kept in protective sleeves",Mint (M),Mint (M),N,,230,1,
2941445074,Sylvester,Step II,Fantasy,F-9556,"LP, Album, San",147829,Sold,15.0,2024-02-23 14:54:24,"Great shape, everything kept in protective sleeves. Picture inner sleeve included. ",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,
2941449094,Dexter Wansel,Voyager,Philadelphia International Records,JZ 34985,"LP, Album, Pit",670536,Sold,15.0,2024-02-23 15:00:58,"Great shape, everything kept in protective sleeves",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,
2942802484,Goldie Alexander,Show You My Love,Arista,CP-713,"12""",2845723,Sold,30.0,2024-02-24 17:19:14,"Great shape, everything kept in protective sleeves. Generic Arista Dance Music cover, right corner notch cut. ""DJ promo copy sticker""",Very Good Plus (VG+),Generic,N,,230,1,
2942803966,Bombers,Bombers 2,West End Records,WE 106,"LP, Album",500856,Sold,10.0,2024-02-24 17:30:18,"Great shape, everything kept in protective sleeves. Original shrink. Promo Sticker",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,
2942806702,Garfield Fleming,Don't Send Me Away,Becket Records,BKD 505,"12"", RSD, Single, RE",13479478,Sold,25.0,2024-02-24 17:46:57,"excellent shape, everything kept in protective sleeves. such a soul banger!",Near Mint (NM or M-),Generic,N,,230,1,
2942809954,The Headhunters,Survival Of The Fittest,"Arista, Arista","AL 4038, 4038","LP, Album, RE",1453047,Sold,20.0,2024-02-24 18:12:52,"Great shape, everything kept in protective sleeves",Near Mint (NM or M-),Near Mint (NM or M-),N,,230,1,
2942813824,Dave Matthews (3),Dune,"CTI Records, CTI Records","CTI 7-5005, CTI 7 5005","LP, Album",544208,Sold,25.0,2024-02-24 18:42:40,"excellent shape, everything kept in protective sleeves",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,
2943364015,Network (2),I Need You,Past Due,PASTDUEDLP015,"2xLP, Album, RE, RM, Gat",20277517,Sold,35.0,2024-02-25 09:29:02,"excellent shape, everything kept in protective sleeves",Near Mint (NM or M-),Near Mint (NM or M-),N,,460,2,
2943383371,Jimmy Ross,First True Love Affair,Full Time Records,FTM 2018-06,"12"", Num, RM",13260945,Sold,20.0,2024-02-25 09:32:47,"excellent shape, everything kept in protective sleeves. #690 hand written on inner label",Near Mint (NM or M-),Generic,N,,230,1,
2943421522,Vanity 6,Vanity 6,"Warner Bros. Records, Warner Bros. Records","9 23716-1, 1-23716","LP, Album, Win",560291,Sold,20.0,2024-02-25 09:48:48,,Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,
2943425464,Peter Brown (2),Do Ya Wanna Get Funky With Me?,Drive,DR-104,"LP, Album, Promo",2235740,Sold,10.0,2024-02-25 10:04:56,"good shape, everything kept in protective sleeves",Very Good Plus (VG+),Very Good (VG),N,,230,1,
2943425989,Chemise,She Can't Love You,Emergency Records (2),EMDS 6528,"12"", RE, Unofficial",8509659,Sold,20.0,2024-02-25 10:06:38,"excellent shape, everything kept in protective sleeves. Extremely excellent boogie jam",Near Mint (NM or M-),Generic,N,,230,1,
2943429619,D-Train,You're The One For Me,Prelude Records,PRL 14105,"LP, Album, Hau",222334,Sold,60.0,2024-02-25 10:21:57,"excellent shape, everything kept in protective sleeves",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,
2943445018,Aretha Franklin,Get It Right,Arista,AL 8-8019,"LP, Album",7981056,Sold,30.0,2024-02-25 10:30:26,"excellent shape, everything kept in protective sleeves",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,
2943451486,Gwen Guthrie,Portrait,"Island Records, Island Records","205 492, 205 492-320","LP, Album",704260,Sold,15.0,2024-02-25 10:32:30,"excellent shape, everything kept in protective sleeves",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,
2943485086,Instant Funk,Instant Funk,Salsoul Records,SA 8513,"LP, Album, Ind",176581,Sold,15.0,2024-02-25 10:43:33,"excellent shape, everything kept in protective sleeves",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,
2943488755,Eddie Kendricks,People...Hold On,"Tamla, Tamla","T315L, T 315L","LP, Album",443628,Sold,50.0,2024-02-25 10:45:06,"excellent shape, everything kept in protective sleeves. ""Girl You Need To Change Your Ming"" - such a killer song",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,
2943489751,Lemelle,You Got Something Special,Leviticus International Records,LVT-1000,"12""",14188666,Sold,30.0,2024-02-25 10:49:16,,Very Good Plus (VG+),Generic,N,,230,1,
2943495478,Various,La Locura de Machuca 1975-1980 ,Analog Africa,AALP 090,"2xLP, Comp",16049087,Sold,35.0,2024-02-25 10:54:27,,Near Mint (NM or M-),Near Mint (NM or M-),N,,460,2,
2943636562,Os Mutantes,Everything Is Possible! - The Best Of Os Mutantes,Luaka Bop,68089-90036-1-2,"LP, RSD, Comp, Ltd, RE, RM",2832452,Sold,25.0,2024-02-25 12:38:10,"excellent shape, everything kept in protective sleeves",Near Mint (NM or M-),Near Mint (NM or M-),Y,,230,1,
2943645160,Slave,Show Time,Music On Vinyl,MOVLP1406,"LP, Album, RE, 180",7145912,Sold,25.0,2024-02-25 12:44:51,"excellent shape, everything kept in protective sleeves",Near Mint (NM or M-),Near Mint (NM or M-),N,,230,1,
2943640747,Psychic Mirrors,Nature Of Evil,Cosmic Chronic,CC #96,"LP, Album",8379917,Sold,80.0,2024-02-26 11:38:16,"excellent shape, everything kept in protective sleeves",Near Mint (NM or M-),Near Mint (NM or M-),N,,230,1,
2962080835,Bob Marley & The Wailers,Catch A Fire,Island Records,ILPS 9241,"LP, Album, RP, Pit",636555,Sold,40.0,2024-03-09 11:27:46,,Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,
2972251355,"""Weird Al"" Yankovic",In 3-D,Rock 'N' Roll Records,FZ 39221,"LP, Album, Pit",1861785,Sold,30.0,2024-03-17 13:26:18,"Really fantastic shape, inside and outside kept in protective sleeves. ",Near Mint (NM or M-),Near Mint (NM or M-),N,,230,1,
3082739939,Dr. Buzzard's Original Savannah Band,Dr. Buzzard's Original Savannah Band,"RCA Victor, RCA Victor","RS 1072, APL1-1504","LP, Album",112256,Sold,20.0,2024-05-20 10:04:34,"Record in excellent shape, Near Mint. Cover in great shape with original shrink. Everything kept in protective sleeves",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,Box 4
3143048594,Augusto Martelli & The Real Mc Coy,The Real Mc Coy N. 2,Aguamanda Records,AGLP 0002,"LP, Gat",2107075,Sold,35.0,2024-06-26 13:38:47,"Jazz Funk and 70s TV theme vibes, Vinyl in VG+ condition. Cover in good condition, light crate wear. Strong spine.",Very Good Plus (VG+),Very Good (VG),N,,230,1,#2
3143948243,New Birth,Birth Day,RCA Victor,LSP-4797,"LP, Album, Ind",414595,Sold,20.0,2024-06-27 06:17:30,"Excellent shape vinyl, cover in very good shape, minor crate wear. Everything kept in protective sleeves because I care.",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,#3
3143978429,Malo (2),Malo,Warner Bros. Records,BS 2584,"LP, Album, Pit",686731,Sold,35.0,2024-06-27 06:27:37,"Vinyl in great shape. Cover shows a crate life (ring wear, corner bumps). Everything now kept in protective sleeves, inside and out. Suavecito is intoxicatingly smooth.",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,#3
3410099241,MC Shy D,Got To Be Tough,Luke Skyywalker Records,XR-1004,"LP, Album",99193,Sold,20.0,2025-01-13 08:42:27,"Lovely vinyl, cover in very good shape, minor crate wear. Everything kept in protective sleeves because I care.",Very Good Plus (VG+),Very Good Plus (VG+),Y,,230,1,
3410513424,France Joli,Now!,Prelude Records,PRL 14103,"LP, Album, Eur",783951,Sold,20.0,2025-01-13 12:39:43,"Excellent shape vinyl, cover in very good shape, minor crate wear. Everything kept in protective sleeves because I care.",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,
3413561427,Curtis Mayfield,Super Fly (The Original Motion Picture Soundtrack),Curtom,CRS 8014 ST,"LP, Album, Son",3926375,Sold,21.0,2025-01-15 12:36:24,"Excellent shape vinyl, cover in very good shape, minor crate wear. Everything kept in protective sleeves because I care.",Very Good Plus (VG+),Very Good Plus (VG+),Y,,230,1,D8
3418675884,Starvue,Upward Bound,Everland,EVERLAND 029,"LP, Album, RE",11960588,Sold,30.0,2025-01-19 06:58:44,"Excellent shape vinyl, cover in excellent shape, minor corner bumps? Everything kept in protective sleeves because I care.",Near Mint (NM or M-),Very Good Plus (VG+),Y,,230,1,
3418677453,Curtis Mayfield,Heartbeat,"RSO, Curtom",RS-1-3053,"LP, Album, 56 ",498207,Sold,20.0,2025-01-19 07:03:55,Vinyl in excellent condition; cover very good with minor crate wear. Stored in protective sleeves for optimal care.,Very Good Plus (VG+),Very Good Plus (VG+),Y,,230,1,
3430588167,Bone Thugs-N-Harmony,1st Of Tha Month,Ruthless Records,88561-6331-1,"12""",227975,Sold,20.0,2025-01-28 08:15:13,"Vinyl is in excellent shape and the cover is well-preserved with only minor crate wear. I keep everything in protective sleeves because I care about quality. If you’d like a photo, just let me know. ""First Of The Month"" is the killer",Very Good Plus (VG+),Very Good Plus (VG+),Y,,230,1,
3430614420,Led Zeppelin,Led Zeppelin III,Atlantic,SD 7201,"LP, Album, PR ",438865,Sold,50.0,2025-01-28 08:56:49,"Led Zeppelin III (1970) balances folk acoustics with that unmistakable rock edge. This copy is VG+ all around, with the gatefold intact and the iconic spinning disc still working—just typical light shelf wear after 50 years. I keep everything in protective sleeves because I care about quality. If you’d like photos, just let me know.",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,B28
3430715742,Cat Stevens,Teaser And The Firecat,A&M Records,SP 4313,"LP, Album, RE, DBX",5707644,Sold,15.0,2025-01-28 09:59:09," VG vinyl, VG cover. Record has some visible scuffs but should play fine. Cover has light wear along edges and corners but still presents well. Includes original inner sleeve. Kept in protective sleeves because I care. Let me know if you’d like photos! Teaser and the Firecat is peak Cat Stevens—warm, thoughtful, and full of classics. The Wind is the one.",Very Good (VG),Very Good (VG),Y,,230,1,
3434088132,Betty Wright,Betty Wright Live,Alston Records,4408,"LP, Album",1149644,Sold,5.0,2025-01-30 13:58:57,"Solid player with some signs of wear, but nothing that kills the vibe. Cover has light handling wear but holds up well. Kept in protective sleeves because I care. Ships in Whiplash mailers for secure delivery. Let me know if you’d like photos.  Raw, soulful, and full of energy. ""Tonight Is the Night"" is essential.",Very Good (VG),Very Good (VG),Y,,230,1,D3
3434185803,Gino Soccio,Closer,"Atlantic, RFC Records",SD 16042,"LP, Album, SP ",227605,Sold,10.0,2025-01-30 16:30:25,"Well-kept copy with just light signs of play. Cover has some minor handling wear but still looks sharp. Kept in protective sleeves because I care. Ships in Whiplash mailers for safe delivery. Let me know if you’d like photos.  Sleek, late-night disco from one of the masters—Gino never misses.",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,d18
2943635875,Ohio Players,Pleasure,Westbound Records,WB 2017,"LP, Album, Uni",514777,Sold,15.0,2025-02-02 16:26:54,"Strong VG+ copy, plays clean with just minor signs of handling. The cover is also VG+, showing light shelf wear but still solid overall. Classic Westbound-era Ohio Players funk—raw, soulful, and essential. Kept in protective sleeves because I care. Ships in Whiplash mailers for safe delivery. Let me know if you’d like photos!",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,
2943667924,Baby Huey,The Baby Huey Story (The Living Legend),Curtom,CRS 8007,"LP, Album, RE",1136710,Sold,50.0,2025-02-02 16:28:35,"Gorgeous NM vinyl, plays beautifully with no issues. Cover is a strong VG+, just minor signs of handling. Essential soul-funk classic, deep grooves and heavy breaks throughout. Kept in protective sleeves because I care. Ships in Whiplash mailers for safe delivery. Let me know if you’d like photos!",Near Mint (NM or M-),Very Good Plus (VG+),Y,,230,1,
3434142582,Debbie Deb,When I Hear Music,Jam Packed,JPI-101,"12"", RP, Blu",1228687,Sold,5.0,2025-02-05 17:54:20,"Solid copy with some surface wear but still bumps loud. No original sleeve, housed in a generic jacket. Kept in protective sleeves because I care. Ships in Whiplash mailers for safe delivery. Let me know if you’d like photos.  Freestyle anthem—electrifying synths and a bassline that won’t quit.",Very Good (VG),Generic,Y,,230,1,D10
3453192774,Donna Summer,Bad Girls,"Casablanca, Lmlr",783 199,"Album, RSD, RE + LP, Blu + LP, Red",19254715,Sold,55.0,2025-02-13 07:00:42," Factory-sealed 2021 Record Store Day reissue of Bad Girls, Donna Summer’s definitive disco masterpiece. Shrink completely intact, never opened. Pristine condition for collectors.",Near Mint (NM or M-),Near Mint (NM or M-),Y,,690,2,B51
3453500097,Stevie Wonder,Innervisions,Tamla,T 326L,"LP, Album, Hol",13286331,Sold,45.0,2025-02-13 10:35:50,"No scratches. Cover is solid with only light corner bumps. A classic pressing of Stevie at his best, well cared for. Ask for pics!",Very Good Plus (VG+),Very Good Plus (VG+),Y,,230,1,d56
3453849225,Jethro Tull,Benefit,Reprise Records,RS 6400,"LP, Album, Ter",1873882,Sold,30.0,2025-02-13 13:07:27,"VG+ vinyl with some light signs of handling, plays great. Cover is solid VG+, light shelf wear but still looks sharp. A must-have for prog rock fans—this is Tull in top form.",Very Good Plus (VG+),Very Good Plus (VG+),Y,,230,1,d58
3419787354,"""The Rocky Horror Picture Show"" Original Cast",The Rocky Horror Picture Show,Ode Sounds & Visuals,SP-77031,"LP, Album",3013966,For Sale,20.0,2026-01-06 10:11:56,"Excellent shape vinyl, cover in very good shape, minor crate wear. Everything kept in protective sleeves because I care.",Very Good Plus (VG+),Very Good Plus (VG+),Y,,230,1,
3434046093,10dB,I Burn For You,Crush Music,A 706-6,"12"", Single",319566,For Sale,5.0,2026-01-06 10:11:56,"Extremely clean copy, barely any signs of handling or play. Generic sleeve, with Promo Sticker listing tracks.Kept in protective sleeves because I care. Ships in Whiplash mailers for secure, damage-free delivery. Let me know if you’d like photos! 🔥 Short-lived soul-funk boogie project. 1988 heat.",Near Mint (NM or M-),Generic,Y,,230,1,D1
3434060040,Al Green,Livin' For You,Hi Records,ASHL 32082,"LP, Album, SH ",1489552,For Sale,15.0,2026-01-06 10:11:56,"Noticeable groove wear and light scratches, but plays through fine. Some surface noise may be present. Cover has minor shelf wear but is still solid. Kept in protective sleeves because I care. Ships in Whiplash mailers for secure delivery. Let me know if you’d like photos.  Classic Al Green—soulful, warm, and timeless. ""Let's Get Married"" is the standout.",Very Good (VG),Very Good (VG),Y,,230,1,D2
3430721178,Andy Gibb,Shadow Dancing,RSO,RS-1-3034,"LP, Album, Ter",10238935,For Sale,10.0,2026-01-06 10:11:56,"VG vinyl, VG+ cover. Record has some visible dust and scuffs but plays through fine. Cover is in great shape with only minor wear. Includes original fan club merch insert. Kept in protective sleeves because I care. Ships in Whiplash mailers for secure, damage-free delivery. Let me know if you’d like photos! Shadow Dancing is peak Andy Gibb—slick, soft-focus disco with hooks for days. An Everlasting Love is the sleeper hit here.",Very Good (VG),Very Good Plus (VG+),Y,,230,1,
3410041404,Arrow (2),Knock Dem Dead,Arrow Records (4),029,"LP, Album",2042573,For Sale,5.0,2026-01-06 10:11:56,"Excellent shape vinyl, cover in very good shape, minor crate wear. Original shrink mostly intact. Everything kept in protective sleeves because I care.",Near Mint (NM or M-),Very Good Plus (VG+),Y,,230,1,
3430774977,The Artist (Formerly Known As Prince),The Truth,"NPG Records, Legacy, The Prince Estate",19075935501,"LP, Album, RSD, RE",19029442,For Sale,50.0,2026-01-06 10:11:56," NM/VG+ – Vinyl is near mint, barely played and flawless. Cover is VG+, with only light signs of handling. Stored in protective sleeves and ships in Whiplash mailers for top-tier protection. Let me know if you’d like photos! The Truth is Prince at his most intimate—stripped-down, raw, and brilliant.",Near Mint (NM or M-),Very Good Plus (VG+),Y,,230,1,
2943667636,Atmosfear / Tamiko Jones,Dancing In Outer Space / Can't Live Without Your Love,Elektra,ED 4988,"12"", Promo",431849,For Sale,15.0,2026-01-06 10:11:56,"excellent shape, everything kept in protective sleeves",Very Good Plus (VG+),Very Good Plus (VG+),Y,,230,1,
3143960915,Average White Band,AWB,Atlantic,SD 7308,"LP, Album, MO ",455128,For Sale,15.0,2026-01-06 10:11:56,"Excellent shape, some worn corners, minor ring wear. Everything kept in protective sleeves, because I care",Very Good Plus (VG+),Very Good Plus (VG+),Y,,230,1,#3
